타임스탬프,0. 성별을 선택해주세요,2. 광고를 보고나서 직접 그 제품을 사용/구매해본 적이 있나요?,3. 광고를 주로 보게되는 환경은 무엇인가요?,4. 어떤 활동/행동을 하다 광고를 접하게 되었나요?
2022. 6. 8 오후 12:50:29,남,예,컴퓨터,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 12:51:21,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:51:26,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:51:27,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 12:51:34,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 12:52:27,남,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:52:29,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 12:54:54,여,아니오,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:54:58,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:55:40,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 12:55:53,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:57:10,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:57:28,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 12:58:35,남,아니오,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:58:53,남,아니오,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:59:06,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 12:59:47,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 1:00:00,여,아니오,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 1:01:10,남,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 1:04:24,여,예,"TV (프로그램 시작 전 CF제외, 홈쇼핑과 프로그램 속 간접광고만 포함)","동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 1:04:53,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 2:36:04,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 6. 8 오후 3:32:13,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 6. 8 오후 6:33:17,여,아니오,"TV (프로그램 시작 전 CF제외, 홈쇼핑과 프로그램 속 간접광고만 포함)","동영상 시청 (유튜브, 트위치 등)"
